city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,64.67,1249.06,4436.68,3093.13
"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,15.34,1519.72,3920.84,5000.0
"Shastripuram, Agra - UPPCB",27.19862,77.92066,50.7,3933.68,4342.81,5000.0
"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,25.37,2508.84,218.7,529.85
"Bhelupur, Varanasi - UPPCB",25.301778,82.996789,23.6,10.86,1277.24,5385.65
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859,74.74,1693.04,5795.37,5000.0
"Maldahiya, Varanasi - UPPCB",25.32393,82.99687,14.62,908.87,3787.7,5000.0
"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612,25.01,2032.73,488.5,5000.0
"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579000000001,104.98,2155.25,1610.93,5000.0
"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,5000.0,5000.0,5000.0,5000.0
"Nagla Bhau, Firozabad - UPPCB",27.168897,78.37696,7.77,277.98,5663.02,5000.0
"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,33.62,129.01,5000.0,5000.0
"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,3.96,4028.17,5000.0,5000.0
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,62.26,3147.81,5000.0,5000.0
"Omex Eternity, Vrindavan - UPPCB",27.571409000000003,77.655757,17.7,1610.46,4809.47,5000.0
"Sector 22, Chandigarh - CPCC",30.735567,76.77571400000001,12.15,205.1,5000.0,4218.58
"Nagar Nigam, Prayagraj - UPPCB",25.44919916,81.82735986,34.55,327.37,3371.54,5000.0
"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067,136.74,3013.15,172.89,5000.0
"Dharmapuri, Agra - UPPCB",27.169338,78.03582,35.1,414.84,682.59,5000.0
"Mangala, Bilaspur - CECB",22.08815,82.13736999999999,0.62,754.25,800.88,5000.0
"Employment Office, Moradabad - UPPCB",28.88528,78.7388,17.92,3596.02,5000.0,5000.0
"Dada Peer, Sasaram - BSPCB",24.952822,84.00239599999999,5.71,5000.0,681.19,5000.0
"Town Hall, Munger - BSPCB",25.376776,86.471523,14.3,4232.01,5000.0,5000.0
"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,23.56,1313.43,2699.21,2361.11
"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,55.29,3820.79,4321.15,5000.0
"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,5.47,1571.51,517.89,5000.0
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,0.69,1183.98,1698.67,5000.0
"Kareemganj, Gaya - BSPCB",24.792403,84.992416,53.49,2318.92,1069.54,5000.0
"Mariam Nagar, Purnia - BSPCB",25.765657,87.466829,43.54,318.4,1108.64,5000.0
