city,latitude,longitude,temperature,humidity,wind_speed,wind_direction
"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,23.94,62,1.79,128
"Police Line, Saharsa - BSPCB",25.892357,86.590325,23.91,54,2.03,130
"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,23.93,53,3.06,113
"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948000000001,25.03,55,3.13,92
"Forest Rest House, Manguraha - BSPCB",27.307773,84.529114,22.71,50,1.72,40
"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446,20.99,26,2.23,71
"New DM Office, Arrah - BSPCB",25.5626095,84.663264,25.22,51,2.85,111
"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,24.09,54,1.64,142
"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638,20.83,26,2.21,71
"Eco Herbal Park, Moradabad - UPPCB",28.840739000000003,78.69753100000001,21.05,26,2.25,72
"Rohta, Agra - UPPCB",27.106972,78.000111,23.95,20,1.76,15
"Sector-53, Chandigarh - CPCC",30.719859000000003,76.738637,21.51,25,2.73,126
"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039,25.67,21,0.5,265
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,28.42,15,3.62,347
"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761,21.49,25,1.53,50
"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,22.14,22,1.8,104
"Bardowali, Agartala - Tripura SPCB",23.8175497,91.2726974,21.56,71,1.02,147
"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944000000001,23.76,52,2.64,107
"Collector Office, Yadgir - KSPCB",16.7602,77.1428,26.99,43,5.18,133
"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,23.43,54,1.11,14
"JN Stadium, Shillong - Meghalaya PCB",25.5803419,91.8942571,13.27,76,1.03,207
"Doon University, Dehradun - UKPCB",30.269444,78.044167,20.26,30,2.24,40
"Vibhab Nagar, Firozabad - UPPCB",27.1594,78.3953,22.69,22,1.08,11
"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,24.59,63,3.11,143
"Kompally Municipal Office, Hyderabad - TSPCB",17.544898999999997,78.486949,24.45,60,3.17,148
"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,24.9,61,3.32,154
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,24.66,64,3.12,144
"IITH Kandi, Hyderabad - TSPCB",17.585704999999997,78.126199,25.0,46,3.33,141
"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.28619499999999,24.75,52,3.2,152
"Kokapet, Hyderabad - TSPCB",17.393559,78.33919399999999,24.38,59,3.36,162
"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708,21.54,26,2.36,62
"Kalindi Kunj, Khurja - UPPCB",28.2348927,77.8683002,21.96,24,1.19,39
"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,24.64,64,3.32,152
"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362,20.99,26,2.23,71
"Transport Nagar, Moradabad - UPPCB",28.802625,78.75372800000001,21.05,25,2.06,69
"Kumaran College, Tirupur - TNPCB",11.0973603,77.3228673,23.7,62,4.33,114
"Bombay Castel, Ooty - TNPCB",11.4068288,76.7138973,9.18,83,1.21,154
"Chalai Bazaar, Ramanathapuram - TNPCB",9.36399,78.831977,26.02,65,7.03,60
"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321,22.22,73,1.14,105
