date,pm2_5,pm10,no2,so2,co,ozone,station
2025-07-04,26.72,97.8,15.87,6.1,1.34,37.46,BENGELURU
2025-07-05,25.01,67.33,15.69,5.92,0.72,27.01,BENGELURU
2025-07-06,30.69,91.18,15.93,5.1,0.39,24.76,BENGELURU
2025-07-07,18.29,72.29,17.08,3.6,0.91,24.74,BENGELURU
2025-07-08,16.65,62.06,17.27,6.17,0.97,25.76,BENGELURU
2025-07-09,15.52,59.61,16.66,4.14,0.7528387096774194,27.78,BENGELURU
2025-07-10,20.54,77.53526315789475,16.81,4.27,0.54,27.79,BENGELURU
2025-07-11,19.37,84.08,22.32,7.63,0.72,19.26,BENGELURU
2025-07-12,19.74,52.4,19.3,6.33,0.69,25.22,BENGELURU
2025-08-01,44.54,87.44,16.21,7.33,0.9,32.65,BENGELURU
2025-08-02,24.91042944785276,77.53526315789475,17.70012195121951,6.292418300653595,0.7528387096774194,26.116134969325156,BENGELURU
2025-08-03,51.57,101.22,17.54,7.4,0.98,29.51,BENGELURU
2025-08-04,25.2,74.17,15.9,6.292418300653595,0.87,31.18,BENGELURU
2025-08-05,23.77,59.15,15.78,6.0,1.09,26.31,BENGELURU
2025-08-06,24.63,73.36,15.6,5.24,0.62,24.8,BENGELURU
2025-08-07,16.84,81.7,16.35,4.42,0.91,24.81,BENGELURU
2025-08-08,17.35,62.93,16.52,4.9,0.82,25.78,BENGELURU
2025-08-09,16.97,66.6,16.93,3.42,0.7528387096774194,27.66,BENGELURU
2025-08-10,35.94,103.53,16.92,3.11,0.54,26.23,BENGELURU
2025-08-11,20.05,92.08,22.07,7.53,0.7,19.23,BENGELURU
2025-08-12,21.33,52.3,19.86,8.01,0.7,23.87,BENGELURU
2025-09-01,52.29,102.62,13.76,7.31,0.53,29.11,BENGELURU
2025-09-02,24.91042944785276,77.53526315789475,17.70012195121951,6.292418300653595,0.7528387096774194,26.116134969325156,BENGELURU
2025-09-03,55.06,108.05,17.62,6.292418300653595,0.55,29.63,BENGELURU
2025-09-04,28.76,76.68,20.39,6.292418300653595,3.5,29.47,BENGELURU
