city,latitude,longitude,pollutant,value,last_updated
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,pm25,34.8,2026-03-03T12:30:00Z
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,pm10,93.7,2026-03-03T12:30:00Z
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,so2,6.81,2026-03-03T12:30:00Z
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,no2,21.56,2026-03-03T12:30:00Z
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,pm25,24.76,2026-03-03T12:30:00Z
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,pm10,90.03,2026-03-03T12:30:00Z
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,co,0.39,2026-03-03T12:30:00Z
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,so2,22.08,2026-03-03T12:30:00Z
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,o3,8.65,2026-03-03T12:30:00Z
"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,pm10,150.52,2026-03-03T12:15:00Z
"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,o3,84.18,2026-03-03T12:15:00Z
"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,no2,12.61,2026-03-03T12:15:00Z
"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,co,0.12,2026-03-03T12:15:00Z
"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,pm25,40.58,2026-03-03T12:15:00Z
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,pm25,42.0,2026-03-03T12:30:00Z
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,pm10,161.0,2026-03-03T12:30:00Z
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,no2,81.5,2026-03-03T12:30:00Z
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,o3,40.5,2026-03-03T12:30:00Z
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,co,2.14,2026-03-03T12:30:00Z
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,so2,49.0,2026-03-03T12:30:00Z
"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,pm10,68.47,2026-03-03T12:30:00Z
