station,date,to_date,pm25,pm10,no2,so2,co,ozone
AHEMEDABAD,,15-03-2025 00:00,29.658709677419353,55.78032258064516,64.6151282051282,30.67,0.31,45.5
AHEMEDABAD,,16-03-2025 00:00,28.903225806451612,54.244193548387095,65.55102564102563,22.79,0.39,42.96
AHEMEDABAD,,17-03-2025 00:00,28.14774193548387,52.70806451612903,66.48692307692308,20.32,0.32,49.17
AHEMEDABAD,,18-03-2025 00:00,27.392258064516128,51.17193548387097,67.42282051282051,18.14,0.24,55.69
AHEMEDABAD,,19-03-2025 00:00,26.636774193548383,49.6358064516129,68.35871794871795,20.34,0.17,57.59
AHEMEDABAD,,20-03-2025 00:00,25.881290322580643,48.09967741935483,69.29461538461538,19.38,0.21,57.01
AHEMEDABAD,,21-03-2025 00:00,25.125806451612902,46.56354838709677,70.23051282051281,13.06,0.45,43.06
AHEMEDABAD,,22-03-2025 00:00,24.37032258064516,45.027419354838706,71.16641025641024,18.96,0.49,47.4
AHEMEDABAD,,23-03-2025 00:00,23.614838709677418,43.49129032258064,72.10230769230769,31.27,0.45,63.7
AHEMEDABAD,,24-03-2025 00:00,22.859354838709677,41.95516129032258,73.03820512820513,37.1,0.32,59.89
AHEMEDABAD,,25-03-2025 00:00,22.103870967741933,40.41903225806451,73.97410256410257,37.86,0.32,71.77
AHEMEDABAD,,26-03-2025 00:00,21.348387096774193,38.882903225806444,74.91,32.36,0.45,65.13
AHEMEDABAD,,27-03-2025 00:00,20.592903225806452,37.346774193548384,46.34,35.49,0.28,49.48
AHEMEDABAD,,28-03-2025 00:00,19.83741935483871,35.81064516129032,42.08,24.99,0.18,40.79
AHEMEDABAD,,29-03-2025 00:00,19.081935483870968,34.27451612903225,38.04,24.45,0.05,54.32
AHEMEDABAD,,30-03-2025 00:00,18.326451612903227,32.73838709677419,43.2,32.28,0.037500000000000006,64.71
AHEMEDABAD,,31-03-2025 00:00,17.570967741935483,31.202258064516123,46.22,39.26,0.025,72.46
AHEMEDABAD,,01-04-2025 00:00,16.815483870967743,29.666129032258056,44.43,34.01,0.012499999999999997,70.7
AHEMEDABAD,,14-04-2025 00:00,16.06,28.13,38.11,14.28,0.0,50.17
AHEMEDABAD,,15-04-2025 00:00,17.87,32.84,34.93,17.02,0.16,54.16
AHEMEDABAD,,16-04-2025 00:00,14.62,26.24,33.61,14.16,0.37,55.88
AHEMEDABAD,,17-04-2025 00:00,40.71,73.17,36.37,10.82,0.27,55.42
AHEMEDABAD,,18-04-2025 00:00,46.75,83.47,35.98,13.92,0.15,52.51
AHEMEDABAD,,19-04-2025 00:00,54.37,96.06,37.8,20.85,0.17,53.03
AHEMEDABAD,,20-04-2025 00:00,73.14,128.07,35.25,30.93,0.37,58.91
AHEMEDABAD,,21-04-2025 00:00,82.55,140.17,34.72,21.78,0.16,58.33
AHEMEDABAD,,22-04-2025 00:00,76.15,130.04,36.1,21.49,0.27,58.11
AHEMEDABAD,,23-04-2025 00:00,80.02,138.62,39.06,25.65,0.32,44.53
AHEMEDABAD,,24-04-2025 00:00,68.8,120.59,48.3,27.35,0.29,43.46
AHEMEDABAD,,25-04-2025 00:00,77.27,132.66,41.43,33.31,0.32,39.2
AHEMEDABAD,,26-04-2025 00:00,58.36,101.81,33.81,32.95,0.35,44.7
AHEMEDABAD,,27-04-2025 00:00,63.65,111.98,33.87,19.67,0.29,37.92
AHEMEDABAD,,28-04-2025 00:00,64.33,113.34,35.49,30.16,0.11,38.91
AHEMEDABAD,,29-04-2025 00:00,61.7,109.37,34.7,25.73,0.21,38.25
AHEMEDABAD,,30-04-2025 00:00,60.77,108.13,33.43,15.71,0.21,32.68
AHEMEDABAD,,01-05-2025 00:00,56.83,99.73,35.06,36.0,0.09,28.0
AHEMEDABAD,,14-05-2025 00:00,45.73,81.83,20.83,3.77,0.27,33.4
AHEMEDABAD,,15-05-2025 00:00,49.8,87.91,17.91,4.61,0.46,34.41
AHEMEDABAD,,16-05-2025 00:00,44.41,80.64,10.04,5.34,0.28,31.9
AHEMEDABAD,,17-05-2025 00:00,36.13,66.86,8.6,5.19,0.48,28.44
AHEMEDABAD,,18-05-2025 00:00,33.52,61.55,8.07,5.03,0.36,24.99
AHEMEDABAD,,19-05-2025 00:00,35.32,64.22,7.17,5.82,0.1,28.31
AHEMEDABAD,,20-05-2025 00:00,46.07,81.21,9.81,6.71,0.39,31.47
AHEMEDABAD,,21-05-2025 00:00,45.13,80.39,17.97,17.73,0.57,30.44
AHEMEDABAD,,22-05-2025 00:00,40.06,71.38,12.08,1.72,0.27,47.05
AHEMEDABAD,,23-05-2025 00:00,39.81,72.81,11.51,5.84,0.45,48.59
AHEMEDABAD,,24-05-2025 00:00,54.02,102.62,25.23,11.71,0.61,47.81
