city,latitude,longitude,pollutant,value,last_updated,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m,temperature,humidity,wind_speed,wind_direction,hour,month,day_of_week
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,no2,41.0,2026-03-03 12:30:00+00:00,164.18,901.3,5000.0,5000.0,21.62,91,2.91,97,12,3,1
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,co,0.96,2026-03-03 12:30:00+00:00,164.18,901.3,5000.0,5000.0,21.62,91,2.91,97,12,3,1
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,o3,53.89,2026-03-03 12:30:00+00:00,164.18,901.3,5000.0,5000.0,21.62,91,2.91,97,12,3,1
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,so2,35.42,2026-03-03 12:30:00+00:00,164.18,901.3,5000.0,5000.0,21.62,91,2.91,97,12,3,1
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,pm25,75.28,2026-03-03 12:30:00+00:00,13.09,1329.04,4222.52,5000.0,23.14,21,1.95,238,12,3,1
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,so2,14.85,2026-03-03 12:30:00+00:00,13.09,1329.04,4222.52,5000.0,23.14,21,1.95,238,12,3,1
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,no2,31.25,2026-03-03 12:30:00+00:00,13.09,1329.04,4222.52,5000.0,23.14,21,1.95,238,12,3,1
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,o3,34.23,2026-03-03 12:30:00+00:00,13.09,1329.04,4222.52,5000.0,23.14,21,1.95,238,12,3,1
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,co,0.64,2026-03-03 12:30:00+00:00,13.09,1329.04,4222.52,5000.0,23.14,21,1.95,238,12,3,1
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,pm10,150.57,2026-03-03 12:30:00+00:00,13.09,1329.04,4222.52,5000.0,23.14,21,1.95,238,12,3,1
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,pm10,111.1,2026-03-03 12:15:00+00:00,14.2,1413.46,3812.75,5000.0,27.29,16,1.09,288,12,3,1
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,pm25,40.88,2026-03-03 12:15:00+00:00,14.2,1413.46,3812.75,5000.0,27.29,16,1.09,288,12,3,1
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,no2,2.83,2026-03-03 12:15:00+00:00,14.2,1413.46,3812.75,5000.0,27.29,16,1.09,288,12,3,1
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,o3,70.06,2026-03-03 12:15:00+00:00,14.2,1413.46,3812.75,5000.0,27.29,16,1.09,288,12,3,1
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,co,0.64,2026-03-03 12:15:00+00:00,14.2,1413.46,3812.75,5000.0,27.29,16,1.09,288,12,3,1
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,co,1.22,2026-03-01 13:00:00+00:00,8.25,72.74,5764.7,5174.66,20.8,64,5.57,98,13,3,6
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,no2,32.44,2026-03-01 13:00:00+00:00,8.25,72.74,5764.7,5174.66,20.8,64,5.57,98,13,3,6
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,pm10,108.26,2026-03-01 13:00:00+00:00,8.25,72.74,5764.7,5174.66,20.8,64,5.57,98,13,3,6
