country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,NO2,18,20,19
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,SO2,5,9,8
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,O3,3,16,13
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465,PM10,NA,NA,NA
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,SO2,2,8,5
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,CO,64,115,93
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,NH3,12,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,O3,58,80,69
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,PM2.5,76,365,225
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.4227,77.0667,PM10,81,319,163
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,CO,6,102,19
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,NH3,3,4,3
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051,O3,29,85,76
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,NO2,21,25,22
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",13.377516,77.099072,O3,23,23,23
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,SO2,3,6,3
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,CO,14,28,21
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",16.7602,77.1428,NH3,2,3,2
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,SO2,5,6,6
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,CO,32,42,35
